effective_date,ticker,book_equity,net_income,sales,operating_cash_flow
2014-03-31,JP1000,31153836800.66694,231797586.01996762,3784686574.1106277,352064996.1373149
2014-03-31,JP1001,22694764533.370716,1308912059.8359082,23003261792.935932,1057586715.5774758
2014-03-31,JP1002,107709379602.04607,1168237330.717184,42042058178.751625,1472649972.6111932
2014-03-31,JP1003,13622286348.947544,319661902.59372973,6410705759.888861,253471770.36673233
2014-03-31,JP1004,8594027342.57791,253078200.6585685,12052969566.271492,817502106.3715003
2014-03-31,JP1005,120138825110.23164,3871105463.30133,53056672751.91761,3715457047.452041
2014-03-31,JP1006,17668071703.08439,262119004.742738,8853200567.845207,172321351.2185262
2014-03-31,JP1007,10133026829.729355,-54487029.79834849,2353149563.0331974,-79412722.8171842
2014-03-31,JP1008,34289952628.750237,606124929.8658265,8519209546.1008,67254243.99204269
2014-03-31,JP1009,25535430057.807465,290501391.55754703,13902100172.192871,-281809605.4290023
2014-03-31,JP1010,37071809125.105804,179618068.57292208,7743847815.868873,256858181.9164601
2014-03-31,JP1011,178030346466.7686,1039060863.7244247,17445296378.445805,1288902015.5751262
2014-03-31,JP1012,52424941874.35043,1397269426.8136613,40017777491.43838,1482745022.8311396
2014-03-31,JP1013,88521318170.79587,289903964.26743096,23064740922.358173,1246558155.6200264
2014-03-31,JP1014,26781245161.035114,713712077.9699537,163007682.98304498,-40953492.59988011
2014-03-31,JP1015,259298091010.27707,1003653355.7642101,47051724736.78361,-296328185.7840482
2014-03-31,JP1016,33498898367.908016,-38877762.519519515,12963220659.77086,514384086.17566395
2014-03-31,JP1017,1931332639.2062893,57777061.67149728,2062885801.1428354,134829547.47959957
2014-03-31,JP1018,189842191212.04996,1602001554.9527164,96379582971.81073,3642329448.3416986
2014-03-31,JP1019,20464654462.3682,373918894.3106619,16774174181.241339,735567599.7174846
2014-03-31,JP1020,21165479649.762794,348485197.2168431,14878348197.736511,344118817.56716573
2014-03-31,JP1021,89527363347.54083,-576484352.5090767,15875389787.765974,699914705.2437036
