split_id,train_start,train_end,valid_start,valid_end,test_start,test_end,n_train,n_valid,n_test
1,2014-01-31 00:00:00,2016-12-31 00:00:00,2017-01-31 00:00:00,2017-12-31 00:00:00,2018-01-31 00:00:00,2018-01-31 00:00:00,3024,1008,84
2,2014-02-28 00:00:00,2017-01-31 00:00:00,2017-02-28 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-02-28 00:00:00,3024,1008,84
3,2014-03-31 00:00:00,2017-02-28 00:00:00,2017-03-31 00:00:00,2018-02-28 00:00:00,2018-03-31 00:00:00,2018-03-31 00:00:00,3024,1008,84
4,2014-04-30 00:00:00,2017-03-31 00:00:00,2017-04-30 00:00:00,2018-03-31 00:00:00,2018-04-30 00:00:00,2018-04-30 00:00:00,3024,1008,84
5,2014-05-31 00:00:00,2017-04-30 00:00:00,2017-05-31 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2018-05-31 00:00:00,3024,1008,84
6,2014-06-30 00:00:00,2017-05-31 00:00:00,2017-06-30 00:00:00,2018-05-31 00:00:00,2018-06-30 00:00:00,2018-06-30 00:00:00,3024,1008,84
7,2014-07-31 00:00:00,2017-06-30 00:00:00,2017-07-31 00:00:00,2018-06-30 00:00:00,2018-07-31 00:00:00,2018-07-31 00:00:00,3024,1008,84
8,2014-08-31 00:00:00,2017-07-31 00:00:00,2017-08-31 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2018-08-31 00:00:00,3024,1008,84
9,2014-09-30 00:00:00,2017-08-31 00:00:00,2017-09-30 00:00:00,2018-08-31 00:00:00,2018-09-30 00:00:00,2018-09-30 00:00:00,3024,1008,84
10,2014-10-31 00:00:00,2017-09-30 00:00:00,2017-10-31 00:00:00,2018-09-30 00:00:00,2018-10-31 00:00:00,2018-10-31 00:00:00,3024,1008,84
11,2014-11-30 00:00:00,2017-10-31 00:00:00,2017-11-30 00:00:00,2018-10-31 00:00:00,2018-11-30 00:00:00,2018-11-30 00:00:00,3024,1008,84
12,2014-12-31 00:00:00,2017-11-30 00:00:00,2017-12-31 00:00:00,2018-11-30 00:00:00,2018-12-31 00:00:00,2018-12-31 00:00:00,3024,1008,84
13,2015-01-31 00:00:00,2017-12-31 00:00:00,2018-01-31 00:00:00,2018-12-31 00:00:00,2019-01-31 00:00:00,2019-01-31 00:00:00,3024,1008,84
14,2015-02-28 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2019-01-31 00:00:00,2019-02-28 00:00:00,2019-02-28 00:00:00,3024,1008,84
15,2015-03-31 00:00:00,2018-02-28 00:00:00,2018-03-31 00:00:00,2019-02-28 00:00:00,2019-03-31 00:00:00,2019-03-31 00:00:00,3024,1008,84
16,2015-04-30 00:00:00,2018-03-31 00:00:00,2018-04-30 00:00:00,2019-03-31 00:00:00,2019-04-30 00:00:00,2019-04-30 00:00:00,3024,1008,84
17,2015-05-31 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2019-04-30 00:00:00,2019-05-31 00:00:00,2019-05-31 00:00:00,3024,1008,84
18,2015-06-30 00:00:00,2018-05-31 00:00:00,2018-06-30 00:00:00,2019-05-31 00:00:00,2019-06-30 00:00:00,2019-06-30 00:00:00,3024,1008,84
19,2015-07-31 00:00:00,2018-06-30 00:00:00,2018-07-31 00:00:00,2019-06-30 00:00:00,2019-07-31 00:00:00,2019-07-31 00:00:00,3024,1008,84
20,2015-08-31 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2019-07-31 00:00:00,2019-08-31 00:00:00,2019-08-31 00:00:00,3024,1008,84
21,2015-09-30 00:00:00,2018-08-31 00:00:00,2018-09-30 00:00:00,2019-08-31 00:00:00,2019-09-30 00:00:00,2019-09-30 00:00:00,3024,1008,84
22,2015-10-31 00:00:00,2018-09-30 00:00:00,2018-10-31 00:00:00,2019-09-30 00:00:00,2019-10-31 00:00:00,2019-10-31 00:00:00,3024,1008,84
